Año,Ciudad,Clave ciudad,Entidad,Indicador,Ejecución de contratos,Robo de vehículos,Competencia en servicios notariales,Tasa de homicidios,Monto reportado en robo de mercancías,Tierra ejidal,Percepción de inseguridad,Sobreexplotación de acuíferos,Consumo de agua,Capacidad de tratamiento de agua en operación,Índice de gestión de calidad del aire,Disposición adecuada de residuos sólidos ,Aprovechamiento del biogás en rellenos sanitarios,"Empresas certificadas como ""limpia""",Desastres naturales,Economía intensiva en energía,Emergencias ambientales,Espacios culturales,Empresa socialmente responsable,Visitas a museos INAH,Universidades de calidad,Rendimiento académico,Escuelas de calidad,Mortalidad por diabetes,Mortalidad infantil ,Médicos,Camas de hospital,Acceso a instituciones de salud,Crecimiento en acceso a servicios de salud,Crecimiento en población altamente calificada,Viviendas con drenaje (sólo conexión a red pública),Viviendas con piso de tierra,Viviendas deshabitadas,Personas por debajo de la línea de bienestar,Desigualdad en las ciudades,Mujeres en la fuerza laboral,Ingreso promedio de la mujer,Duración de período para ediles y delegados,Participación ciudadana,Competencia electoral,Organizaciones de la sociedad civil,Periodistas muertos o desaparecidos,Índice de información presupuestal,Ingresos propios,Apertura de un negocio,Registro de una propiedad,Muertes por infecciones intestinales,Empleados en el sector formal,Crecimiento en los empleados en el sector formal,Crecimiento de la mancha urbana,Densidad poblacional,Salario promedio mensual para trabajadores de tiempo completo,"Jornadas laborales muy largas 
(+48 horas semanales)",Crecimiento en jornadas laborales muy largas,Productividad media del trabajo,Población ocupada sin ingresos,Crecimiento de la población ocupada sin ingresos,Demandantes de conflicto laboral,Crédito a las empresas,Tamaño del mercado hipotecario,Cartera hipotecaria vencida,"Sectores que han presentado alto crecimiento
(2008-2012)",Crecimiento del PIB estatal,Crecimiento del salario promedio,Diversificación económica,Desempleo,Viviendas con líneas telefónicas móviles,Viviendas con computadora,Uso deTwitter como proxy de uso de tecnologías de información,Muertes por accidentes relacionados con transporte,Sistema de transporte masivo,Red carretera avanzada,Aerolíneas,Flujo de pasajeros aéreos,Líneas de autobús,Uso de servicios financieros,Acceso a servicios financieros,Consumo de diesel en transporte de bienes,Inversión extranjera directa (neta),Flujo de pasajeros del o hacia el extranjero,Oferta hotelera 4 y 5 estrellas,Ocupacion hotelera,Sitios UNESCO,Ciudad fronteriza o portuaria,Empresas,Grandes empresas según CNN Expansión,Empresas certificadas con ISO-9000 y 14000,Centros de investigación,Posgrados de calidad,Patentes,,Inversión,Grado de escolaridad efectiva,Absorción de la demanda estudiantil,Licenciados ocupados,Migrantes (nal y ext) con educación superior,Investigadores
2008,Durango,62,Durango,,79,61,9,77,88,83,0,50,85,41,67,100,100,27,91,70,100,14,11,0,0,94,62,33,52,60,64,70,44,60,76,88,69,66,47,42,74,0,41,63,13,100,67,30,18,37,77,66,61,72,74,65,78,59,10,86,40,73,0,0,100,10,67,44,47,51,14,49,8,27,0,30,17,2,19,15,1,98,26,11,44,46,0,0,43,11,0,20,2,21,,10,73,48,53,13,4
2008,Celaya,63,Guanajuato,,79,71,17,93,93,38,56,0,88,1,100,86,0,7,100,88,72,6,12,2,0,83,50,19,65,27,27,47,38,60,83,84,59,69,48,57,54,0,51,73,20,100,15,30,100,79,83,63,41,67,68,49,80,64,28,64,57,78,13,36,70,8,78,64,44,28,28,32,19,42,100,33,0,0,9,14,34,95,13,0,43,31,25,0,33,12,0,0,3,40,,15,43,32,11,17,16
2008,Guanajuato,64,Guanajuato,,79,93,100,98,70,78,56,0,83,100,100,100,0,0,100,92,83,100,0,100,9,84,34,52,70,39,37,82,81,43,82,94,72,92,86,46,100,0,51,96,36,100,56,36,100,79,85,90,100,74,42,62,77,0,100,49,36,0,4,23,68,100,78,71,2,34,37,50,28,63,67,52,0,0,7,35,25,97,14,0,43,23,25,0,68,0,0,39,34,40,,50,61,100,56,21,16
2008,Irapuato,65,Guanajuato,,79,86,26,97,90,20,56,0,87,29,100,100,0,0,100,81,61,2,0,0,0,90,49,20,56,23,21,58,44,77,85,92,76,80,67,48,34,0,43,77,33,100,83,33,100,79,77,75,52,75,68,51,64,51,18,99,0,52,23,50,71,5,78,61,44,33,29,32,8,45,0,25,0,0,4,28,21,95,12,0,49,35,0,0,38,7,0,10,0,40,,9,52,26,16,33,16
2008,León,14,Guanajuato,,79,90,17,97,81,62,56,0,81,15,100,100,0,6,100,89,94,4,0,0,0,81,33,39,71,23,48,58,46,60,87,94,75,92,72,62,67,0,54,71,22,100,14,34,100,79,87,68,55,66,84,44,51,58,34,52,48,38,22,46,48,12,78,40,67,31,40,36,8,60,100,29,36,4,16,17,25,99,13,48,48,38,0,0,47,8,0,9,1,40,,17,59,23,29,17,16
2008,La Piedad-Pénjamo,26,Guanajuato,,68,87,9,94,36,44,51,43,94,12,0,100,0,0,98,54,89,2,0,0,0,70,19,30,64,46,35,43,33,0,78,93,38,78,62,33,22,0,31,22,7,67,0,10,97,78,68,77,30,80,62,52,64,72,3,63,76,92,48,8,60,9,74,23,17,1,11,12,3,50,67,21,0,0,2,11,18,99,15,0,35,31,0,0,23,0,0,19,0,40,,3,6,41,36,4,16
2008,San Francisco del Rincón,15,Guanajuato,,79,93,13,93,94,72,56,1,92,2,0,100,0,0,100,82,100,2,0,0,0,83,39,56,0,26,12,53,22,67,84,95,57,76,84,61,44,0,66,55,10,100,0,14,100,79,90,85,23,77,64,0,37,60,9,72,45,83,20,8,54,4,78,54,11,52,22,8,1,72,67,20,0,0,0,6,27,98,11,0,42,28,0,0,30,0,1,0,0,40,,5,22,8,0,1,16
2008,Salamanca,66,Guanajuato,,79,84,12,95,95,57,56,0,81,22,100,100,0,7,100,97,72,4,0,1,0,84,46,24,79,25,12,43,57,62,84,94,84,80,43,65,59,0,54,41,18,100,0,38,100,79,72,44,70,78,44,43,82,26,8,87,63,85,1,82,96,0,78,45,17,26,31,31,22,34,67,37,0,0,0,9,20,90,24,0,6,49,0,0,24,0,0,0,0,40,,54,47,34,13,14,16
2008,Moroléon-Uriangato,78,Guanajuato,,79,93,13,96,95,84,56,8,87,28,0,100,0,0,100,54,100,5,0,0,0,96,44,18,79,50,58,10,16,10,83,98,21,97,100,94,78,0,53,91,15,100,0,28,100,79,74,45,0,78,41,28,73,100,1,36,100,89,29,12,2,9,78,53,4,43,13,14,2,51,67,48,0,0,4,13,61,89,10,0,42,28,0,0,26,0,1,0,0,40,,1,57,22,39,0,16
2008,Acapulco,16,Guerrero,,86,48,3,75,81,24,29,100,76,16,0,95,0,13,84,69,100,3,0,14,0,77,52,35,73,42,26,37,44,71,59,36,9,71,54,74,60,0,4,87,22,33,0,46,9,36,87,37,46,78,52,59,53,70,7,56,50,29,16,25,53,22,65,63,42,75,19,19,10,85,0,23,43,8,19,18,15,98,9,27,65,42,0,50,32,0,0,0,0,0,,14,46,37,38,13,0
2008,Chilpancingo,77,Guerrero,,86,77,1,83,73,84,29,100,95,0,0,100,0,33,100,49,100,15,0,67,9,83,65,72,81,54,41,46,30,56,64,18,60,75,54,87,47,0,1,12,31,100,0,13,9,36,73,37,37,58,47,81,72,82,3,51,65,38,4,7,35,10,65,64,21,94,30,40,6,36,67,13,0,0,4,46,12,96,9,0,66,43,0,0,23,0,0,0,2,0,,9,81,41,58,21,0
2008,Tula,19,Hidalgo,,87,85,4,94,99,8,55,100,89,0,33,54,0,45,93,97,78,4,0,0,0,87,30,43,60,36,31,45,40,63,74,88,44,70,53,46,59,0,34,57,0,100,0,32,18,59,100,67,42,71,7,55,61,54,41,94,40,94,1,28,92,3,73,74,9,23,50,22,14,52,67,76,0,0,7,22,9,77,15,0,8,0,0,0,25,0,1,0,0,5,,100,75,32,20,16,27
2008,Tulancingo,18,Hidalgo,,87,74,9,91,50,48,55,12,94,1,0,90,0,7,67,31,100,4,0,0,0,85,47,42,48,36,27,0,77,96,73,74,42,48,51,26,68,0,26,67,12,100,0,17,18,59,86,52,21,70,19,20,41,54,3,75,49,94,14,9,46,7,73,88,20,30,21,12,11,46,67,31,0,0,4,15,14,92,10,0,8,0,0,0,38,0,1,0,0,5,,1,43,9,8,4,27
2008,Pachuca,17,Hidalgo,,87,84,6,98,82,37,55,25,95,0,33,53,0,0,80,66,94,15,13,19,9,100,86,24,61,64,42,45,46,59,78,87,0,76,35,82,61,0,39,70,8,100,0,37,18,59,81,56,49,67,23,78,65,62,12,88,50,72,10,45,66,8,73,33,46,55,65,51,33,54,0,35,0,0,7,34,24,96,10,0,33,30,0,0,40,0,0,0,25,5,,5,65,65,62,37,27
2008,Guadalajara,20,Jalisco,,75,86,9,94,75,53,47,61,96,1,100,99,0,16,100,87,83,8,3,9,18,89,53,43,64,37,50,68,42,58,90,89,65,93,59,76,45,0,57,91,7,67,33,42,51,37,87,67,58,59,80,62,84,82,31,35,67,54,26,50,63,7,72,39,91,51,51,57,10,58,100,91,50,10,58,28,40,96,20,39,47,51,25,0,41,12,0,5,15,56,,22,65,50,49,30,19
2008,Ocotlán,22,Jalisco,,75,91,6,95,63,51,47,98,97,25,0,0,0,0,100,81,100,2,0,0,0,78,32,43,66,16,0,41,51,81,88,87,47,73,88,71,23,0,75,78,3,100,0,26,51,37,75,65,48,59,44,17,96,57,18,68,69,84,7,7,88,2,72,80,11,57,29,22,1,0,67,58,0,0,0,11,17,50,16,0,48,49,0,0,40,0,1,0,0,56,,13,48,30,17,35,19
2008,Puerto Vallarta,21,Jalisco,,59,80,9,88,96,6,40,100,83,39,0,65,0,30,98,73,94,1,0,9,0,80,39,86,67,28,25,72,30,80,85,90,9,83,63,81,56,0,45,95,9,100,69,79,28,30,84,76,46,77,46,53,74,92,17,73,82,39,17,51,61,10,72,31,31,71,52,47,9,63,67,62,48,57,21,21,34,89,18,99,78,80,0,50,63,0,0,0,0,56,,15,69,33,23,27,19
2008,Toluca,23,México,,73,65,2,92,62,39,15,2,93,14,67,61,0,48,100,92,83,11,20,1,9,79,35,39,28,31,21,56,49,55,83,90,74,82,59,46,94,0,83,70,3,100,2,30,0,28,76,53,61,71,39,50,57,65,48,30,50,80,13,55,50,16,77,68,65,68,26,27,11,50,0,78,17,13,33,16,16,98,32,2,63,37,0,0,21,0,4,0,37,17,,29,53,47,37,31,4
2008,Zamora-Jacona,25,Michoacán,,57,89,14,93,61,39,46,100,96,13,0,75,0,5,100,66,94,3,0,0,0,80,74,18,69,34,27,59,21,81,86,88,46,87,82,31,78,0,8,74,11,100,0,23,95,76,75,82,28,67,60,24,74,84,8,100,35,79,55,23,76,6,67,75,25,41,32,28,0,37,67,82,0,0,2,16,51,82,22,0,26,34,0,0,45,0,0,29,5,19,,9,17,0,19,4,46
2008,Morelia,24,Michoacán,,57,68,12,88,57,65,46,100,85,16,33,93,0,11,100,76,89,26,8,9,9,85,39,29,63,61,65,56,32,50,84,84,19,84,55,65,76,0,20,87,21,100,7,32,95,76,78,71,42,65,70,82,84,81,19,96,52,61,22,54,64,20,67,19,58,57,58,62,7,55,0,60,24,4,32,24,22,96,30,54,49,42,25,0,46,0,0,19,13,19,,19,0,71,69,35,46
2008,Uruapan,67,Michoacán,,57,79,9,82,81,79,46,100,89,19,0,0,0,8,100,63,100,5,0,0,0,87,72,42,62,35,30,42,44,88,81,67,78,94,53,82,87,0,18,94,7,67,56,27,95,76,86,39,62,72,59,50,61,67,13,95,72,78,18,25,57,27,67,45,36,57,54,31,3,42,67,78,2,2,4,14,16,83,22,0,26,34,0,0,60,0,0,0,0,19,,14,35,35,29,13,46
2008,Cuautla,28,Morelos,,54,90,1,91,44,14,28,100,88,22,0,78,0,21,100,69,94,7,0,10,0,80,50,46,77,22,26,22,47,82,72,73,3,79,78,63,52,0,52,88,9,100,19,29,46,0,85,47,29,77,31,27,55,81,6,34,56,85,9,25,68,7,76,64,33,58,1,18,5,44,67,100,0,0,2,10,16,97,22,0,42,33,0,0,5,100,3,14,0,49,,6,44,25,14,7,89
2008,Cuernavaca,27,Morelos,,54,62,3,88,63,38,28,100,74,8,33,95,100,24,100,85,78,21,18,100,9,82,55,36,62,33,17,43,39,62,70,87,13,86,50,78,54,0,56,88,52,100,22,45,46,0,75,49,45,79,37,56,65,80,26,0,64,52,10,41,60,9,76,14,59,63,7,41,11,59,0,100,0,1,18,19,19,97,36,0,52,34,25,0,35,4,0,25,27,49,,19,82,46,47,63,89
2008,Tepic,29,Nayarit,,43,85,8,90,92,4,33,100,85,21,0,93,0,6,100,72,100,17,0,9,9,92,65,36,83,53,33,61,40,59,66,93,56,80,52,95,74,0,41,96,92,100,75,12,5,24,73,70,51,83,82,84,71,71,14,94,43,77,15,31,80,30,71,24,43,58,24,55,2,50,67,35,7,1,11,100,27,94,25,0,73,70,0,0,59,0,0,0,3,8,,18,97,66,74,32,0
2008,Monterrey,30,Nuevo León,,74,67,5,96,88,93,27,98,95,20,33,100,100,21,82,94,61,7,23,2,45,100,84,52,74,13,16,87,43,60,94,94,65,94,60,71,52,0,66,76,2,33,24,46,60,88,90,81,64,70,51,68,68,89,60,57,47,41,23,72,68,12,84,19,91,48,57,62,42,80,100,70,45,10,11,35,71,99,70,18,86,69,0,0,48,38,1,7,29,98,,31,79,37,58,35,13
2008,Oaxaca,31,Oaxaca,,72,72,17,90,76,44,61,100,90,9,0,1,0,10,100,51,94,43,0,47,0,0,0,49,74,58,75,42,38,61,46,60,59,69,44,95,61,0,26,80,70,0,1,24,33,59,70,41,44,74,28,72,49,84,8,64,58,65,14,26,66,8,69,42,48,69,60,63,11,47,0,81,24,6,5,34,30,97,10,4,29,27,25,0,35,0,1,24,17,0,,4,83,60,67,18,22
2008,Tehuantepec-Salina Cruz,32,Oaxaca,,72,89,3,88,98,51,61,100,100,12,0,28,0,62,64,99,67,6,0,0,0,0,0,0,86,45,27,25,53,100,48,35,62,65,46,59,81,0,44,78,7,100,0,13,33,59,58,0,69,74,19,30,40,87,2,51,75,80,0,17,85,8,69,100,10,87,38,21,0,35,67,32,0,0,2,20,16,99,16,0,30,33,0,50,24,0,1,0,0,0,,100,26,31,13,4,22
