Ciudad,Clave cd,Entidad,Derecho,MA,Sociedad,Político,Gobierno,Mercado laboral,Economía,Precursores,RI,Innovación,GENERAL
Aguascalientes,1,Aguascalientes,74.5815332226,66.4146737287,56.6631195461,52.8986786258,64.2050416568,36.8608010299,45.538013605,46.6757920975,28.4590352609,16.3304798861,49.9350794848
Ensenada,55,Baja California,45.9983817536,53.7871466903,50.8347289893,38.4173602055,50.0422941291,43.6697938757,42.5400596606,39.4013839038,16.472034174,11.1519917728,40.0517686437
Mexicali,3,Baja California,40.8846469062,67.9413147013,48.762709443,38.506795636,54.2662891821,47.0357150885,47.2189211245,49.2459816852,29.4649118601,15.3288817865,44.7631690722
Tijuana,2,Baja California,49.6521439279,68.0143138073,50.4617898295,35.7386517807,61.4312421526,49.4080579652,41.3396356936,49.4001746085,23.2984555828,10.5502466946,45.0693975368
La Paz,56,Baja California Sur,71.1756811481,67.1718390169,57.9247162907,66.6952017871,55.6612789283,52.1906221274,50.0789975021,50.0382777995,30.0321160371,23.7279155467,52.8507906056
Los Cabos,57,Baja California Sur,74.1150876053,71.3557483826,54.4160670188,33.9683895909,67.2773334767,55.9701295282,51.5838472458,57.8043830211,68.8195416567,19.0543355836,56.6687080162
Campeche,58,Campeche,72.5138852204,58.3168584306,58.9333789486,59.0832332764,63.0273963741,49.5323581781,46.1043682266,50.0905538651,25.8384791005,12.8702129678,50.5160202914
Ciudad del Carmen,59,Campeche,72.1236812163,70.3226104775,47.0075653594,42.670154925,60.0529891179,48.0455887252,33.525969355,49.3289799568,12.5733514586,20.5492386346,46.4104973256
Saltillo,5,Coahuila,68.7409440526,55.9944873586,54.8671852064,64.0739348559,58.4363113984,53.5388536404,45.645344798,50.1414313477,23.7629565753,29.4953979156,50.7684573685
Monclova-Frontera,6,Coahuila,70.3262359877,56.0940233457,50.9236399656,66.0185983918,53.5238892524,43.6713922564,38.0105233602,45.9611940708,20.2911036259,23.4825973036,47.1435298589
La Laguna,4,Coahuila,47.5521768514,53.7118097656,49.9093574684,41.9776704025,51.3768279467,49.8146012971,44.2517028456,45.438601685,22.4004842411,17.1005923096,43.0170999835
Piedras Negras,7,Coahuila,69.5901920786,64.2036024276,44.6835814944,60.5256092759,53.1015180252,44.1223714024,28.4749980969,48.189949912,23.0545546388,24.6737442032,46.36531634
Tecomán,9,Colima,55.6523619122,54.0992571531,48.6639565333,42.0404042527,50.8383870086,47.3536268925,34.9330092205,29.0349990148,14.9177555748,7.0945456409,39.0268244534
Colima-Villa de Álvarez,8,Colima,59.6276397161,62.7742966178,54.5886599291,57.623014852,61.1356771409,50.2290519246,50.8912616481,45.5371826175,15.9315224148,11.5732236109,47.7254750402
Manzanillo,60,Colima,54.5623051354,58.2596537949,50.5629147937,43.6990145084,55.8975296104,41.1586559998,45.5252899208,43.123024434,37.017636416,16.3480097358,45.4622001084
Tuxtla Gutiérrez,10,Chiapas,70.4450202314,62.597561988,53.385408277,51.0471757209,50.8454555862,47.039434819,43.3018023559,39.7979715281,7.0801581736,5.5276343226,43.8161942526
Tapachula,61,Chiapas,70.8027836118,62.425389934,38.0082803114,48.7998168366,34.2243809395,47.0855530864,43.2724873053,30.6102001902,10.9088876956,5.9676463691,39.2462099349
Chihuahua,12,Chihuahua,46.4359866634,65.519998894,55.516929691,40.7153998767,52.7995992434,43.3276313808,48.1005569645,55.2261421917,42.6389573215,25.4796709022,48.5200983322
Juárez,11,Chihuahua,30.8551505738,75.8581742636,47.3849186175,30.4922619098,56.0392589109,54.6288330806,40.4444658201,41.3242200911,29.8404227803,10.8898529392,42.6268661097
Valle de México,13,Distrito Federal,50.4218357105,47.5400927119,63.940107798,45.2581013057,58.2229754725,40.8450590477,60.476918196,70.0311363727,66.2464086007,66.714825418,57.6655481881
Durango,62,Durango,50.5131023858,76.0717533433,56.4552263782,43.2717045498,53.7237050073,44.1256410474,37.9012067308,36.6059993546,20.1522783515,14.3655787103,44.10695973
Celaya,63,Guanajuato,59.0523042461,51.7459971399,50.0074126969,43.9714198644,52.9112817576,40.8563616345,46.2583032427,34.265172758,19.8943019448,13.925469859,41.9636611362
Guanajuato,64,Guanajuato,79.2801868864,58.0216010173,58.4589643265,47.9779932774,69.1939429137,26.909899388,47.1994684675,40.674760347,19.411538378,27.4156328045,48.6038028903
Irapuato,65,Guanajuato,61.0229680656,60.031986219,55.7485260164,46.9767472683,59.0889485729,35.4967099532,51.0146307759,23.9224776673,16.4333285423,12.6329867846,43.002256269
León,14,Guanajuato,66.2670124691,55.5945707308,53.3797318592,43.928772148,58.7959544462,29.8566890932,46.4651091698,42.8844092899,27.3249785715,15.6229792621,45.1542291731
